quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,11/01/2018,72,2,1,2,2,503999,6999.99,672,1.104317413,,,,,,3.4312056,47.65625,47,0.092
1,2018,11/01/2018,72,2,,1,1,434000,6027.78,611,0.433417826,,,,,,5.0741709,61,17,0.136
1,2018,05/01/2018,72,3,1,2,1,371000,5152.78,329,1.149140264,,,,,,10.1025303,63.03125,13,0.047
1,2018,08/01/2018,72,2,1,1,2,360500,5006.94,565,0.778917201,,,,,,6.0788631,60.875,18,0.193
1,2018,25/01/2018,72,3,1,2,1,482999,6708.32,553,0.861991161,,,,,,5.871813,70.0625,6,0.079
1,2018,16/01/2018,72,2,1,2,1,364000,5055.56,420,0.696438837,,,,,,7.0588138,55.3125,24,0.054
1,2018,26/01/2018,72,2,0,2,1,836500,11618.06,503,0.71107736,,,,,,3.2631882,71.21875,3,0.095
1,2018,12/01/2018,73,2,1,1,2,378000,5178.08,560,4.144007221,,,,,,7.5472921,51.5,33,0.071
1,2018,18/01/2018,73,3,1,2,2,371000,5082.19,544,0.622049528,,,,,,15.2809271,49.71875,39,0.055
1,2018,17/01/2018,74,2,1,3,2,665000,8986.49,468,0.848353653,,,,,,2.72969,61.78125,15,0.174
1,2018,12/01/2018,74,2,1,2,2,420000,5675.68,,2.368607801,,,,,,8.6020624,45.3125,53,0.056
1,2018,06/01/2018,74,3,1,2,2,422030,5703.11,294,2.339018456,,,,,,8.6876586,45.3125,53,0.056
1,2018,31/01/2018,74,2,0,2,1,420000,5675.68,0,1.362096381,,,,,,6.3963451,70.0625,6,0.079
1,2018,23/01/2018,74,2,1,2,2,385000,5202.7,280,4.320947545,,,,,,7.7478466,51.5,33,0.071
1,2018,19/01/2018,74,2,1,2,1,629860,8511.62,560,1.006120607,,,,,,3.4014823,61.78125,15,0.174
1,2018,04/01/2018,74,2,1,1,2,445200,6016.22,385,1.424146219,,,,,,10.2467751,63.03125,13,0.047
1,2018,08/01/2018,74,3,1,2,2,406000,5486.49,503,2.286700092,,,,,,10.0351726,54.6875,26,0.049
1,2018,23/01/2018,74,3,1,2,2,454300,6139.19,503,2.286700092,,,,,,10.0351726,54.6875,26,0.049
1,2018,27/01/2018,74,3,1,2,2,409500,5533.78,420,2.030383823,,,,,,11.4055267,54.6875,26,0.049
1,2018,23/01/2018,75,2,1,2,1,416500,5553.33,406,5.748849801,,,,,,9.1701891,51.5,33,0.071
1,2018,29/01/2018,75,2,,1,1,385000,5133.33,436,1.504955406,,,,,,6.1885713,70.0625,6,0.079
1,2018,18/01/2018,75,2,0,1,1,556500,7420,588,0.581359077,,,,,,4.5413428,68.96875,7,0.135
1,2018,19/01/2018,75,2,0,1,1,519399,6925.32,595,0.76232997,,,,,,3.4113305,75.40625,2,0.093
1,2018,16/01/2018,75,2,1,2,2,749000,9986.67,1050,2.082089735,,,,,,2.0460196,61.78125,15,0.174
1,2018,18/01/2018,75,2,0,2,1,406000,5413.33,665,0.644139551,,,,,,3.3904256,68.96875,7,0.135
1,2018,30/01/2018,76,3,1,2,2,595000,7828.95,605,1.669133601,,,,,,6.6185623,70.0625,6,0.079
1,2018,12/01/2018,76,2,,2,1,474599,6244.72,574,1.992538594,,,,,,6.4013868,61,17,0.136
1,2018,11/01/2018,76,2,0,2,1,406000,5342.11,441,0.975902292,,,,,,3.9987208,53.75,29,0.075
1,2018,21/01/2018,77,2,1,1,1,686000,8909.09,630,0.94879103,,,,,,3.2512178,71.0625,4,0.087
1,2018,16/01/2018,77,2,1,2,1,560000,7272.73,420,0.820576586,,,,,,3.2603286,71.0625,4,0.087
1,2018,23/01/2018,77,2,1,3,3,472219,6132.71,854,2.791808833,,,,,,6.2820508,45.75,52,0.171
1,2018,19/01/2018,77,2,1,1,1,555100,7209.09,588,0.581359077,,,,,,4.5413428,68.96875,7,0.135
1,2018,25/01/2018,77,1,1,2,1,944999,12272.71,489,1.181058619,,,,,,1.2666471,71.0625,4,0.087
1,2018,10/01/2018,77,3,0,2,0,441000,5727.27,,0.749825812,,,,,,4.4079027,53.75,29,0.075
1,2018,25/01/2018,78,3,1,1,1,489999,6282.04,690,0.751420608,,,,,,3.0738497,71.0625,4,0.087
1,2018,18/01/2018,78,3,1,2,2,413000,5294.87,454,1.886360961,,,,,,10.4602277,54.6875,26,0.049
1,2018,10/01/2018,78,1,1,2,2,704200,9028.21,280,1.132608962,,,,,,4.0187051,68.96875,7,0.135
1,2018,24/01/2018,78,1,1,2,1,693000,8884.62,140,1.885489394,,,,,,0.5846418,61.78125,15,0.174
